"","fldCruiseName","fldCruiseStationNumber","fldShotLonDecimalDegrees","fldShotLatDecimalDegrees","fldShotShipsHeading","fldShotDepth","Warp_m","fldGearCode","SweepLngt_m","fldValidityCode","fldWindSpeed","ObsHeave_m","ObsPitch_deg","ObsRoll_deg","door_dist_Median","door_dist_sd","wing_dist_Median","wing_dist_sd","TS_fish_density_Median","TS_fish_density_sd","TS_opening_Median","TS_opening_sd","TS_clearance_Median","TS_clearance_sd","TS_height_Median","TS_height_sd","TEY_fish_density_Median","TEY_fish_density_sd","TEY_height_Median","TEY_height_sd","TEY_opening_Median","TEY_opening_sd","TEY_clearance_Median","TEY_clearance_sd","TSP_along_speed_Median","TSP_along_speed_sd","TSP_across_speed_Median","TSP_across_speed_sd"
"34","IGFS2018",39,-9.661,54.505,260,97,349,"101020101","L","V","19",6.5,5.95,6.5,103.31,1.52834650502323,20.94,0.236899780620507,7,0.587976075294608,4.38,5.52693045060489,0,0.0600567913047158,4.38,9.00105261971142,0,0.871473381869831,4.06,0.964803553178788,4.06,0.265198934183084,0,0.989597072703138,2.38,0.256896413314788,-0.08,0.0331245380804242
"35","IGFS2018",42,-10.237,53.291,312,120,415,"101010101","L","V","29",6.88,7.49,6.88,118.44,1.25068741661716,23.75,0.347698440076151,1,0.876950755477862,4,0.800308950360597,0,0,4,0.878103076499658,0,1.05209503639149,3.75,0.143072261920847,3.69,0.108200366669061,0,0,2.135,0.132816124453462,-0.05,0.0358059716131355
"36","IGFS2018",44,-10.161,54.431,329,113,390,"101010101","L","V","21",5.26,7.85,5.26,111,2.23331802745706,22.44,1.34318995285407,7,1.05537190329659,4.13,1.64904162694447,0,0.546950204010023,4.19,1.77118187833631,0,1.04493409340953,4.06,0.258989929530302,4.06,0.226533768179566,0,0.0374765844497931,2.1,0.210393574161613,0.02,0.0687462863629354
"37","IGFS2018",45,-10.315,54.301,245,117,402,"101010101","L","V","18",5.6,8.96,5.6,112.81,1.82559338788319,22.25,0.273788503712076,6,1.32760477374168,4.06,0.663584726498799,0,0.296051752551682,4.06,0.792077784504062,0,1.00623847649366,4,0.339851909325064,3.88,0.308572015755517,0,0,2.36,0.503956403843907,-0.1,0.0421086363457897
"38","IGFS2018",46,-10.678,54.175,198,180,554,"101010101","L","V","16",6.14,5.18,6.14,121.22,2.73422869123044,24.31,0.296587428196312,6,0,4.31,1.97494487840225,0,0,4.25,1.62699309209939,3,2.19143139100953,4.03,0.607368964323606,4.19,0.427994680621519,0,0.67922357440803,2.09,0.134707796642178,-0.015,0.0315945293637092
"39","IGFS2018",47,-8.824,54.396,345,58,233,"101010101","S","V","14",2.46,4.29,2.46,30.44,43.4359672428574,21.38,0.232134194961119,2,1.53260238042918,4.19,22.5644121527311,0,0.0107733733700495,4.19,19.5203514457956,4,1.36291960788223,4.56,0.209211029589649,4.56,0.204589865308654,0,0.397421305032448,2.345,0.18155736537821,-0.03,0.13876634159974
"40","IGFS2018",50,-9.427,54.474,314,85,324,"101010101","L","V","24",3.16,5.82,3.16,106.88,12.5189144946098,21.25,0.217828222724661,5,1.67027857211741,4.25,2.12656276613512,0,0.171147630387229,4.25,8.26429663712265,0,1.5194254987178,4.16,1.04011324622454,4.16,0.239005503436483,0,0.282639181346639,2.31,0.082412935221917,-0.14,0.0372512018055768
"41","IGFS2018",51,-10.998,54.247,170,NA,909,"101010101","L","V","24",7.1,8.86,7.1,136.63,7.30711275358816,25.44,0.659070990037712,0,1.15365413985134,3.81,1.19661956232463,0,0.103576170809873,3.81,1.79909741310233,0,0.586764833467525,3.75,0.401809663581062,3.75,0.412481375555894,0,0.110936377556454,2.26,0.55529939788312,-0.02,0.0423029641913104
"42","IGFS2018",52,-11.302,54.007,200,270,800,"101010101","L","V","14",5.24,4.44,5.24,132.5,2.72984188225759,24.81,0.387720351164432,2,2.33221306037532,3.69,0.733043849318821,0,0.814357541334398,3.845,2.18417467879383,0,1.03550987525682,3.88,0.878304479957229,4,0.454216962233345,0,0.545237021337358,2.23,0.168963683871213,0,0.0337916787245086
"43","IGFS2018",53,-11.505,53.955,261,308,870,"101010101","L","V","20",4.95,8.11,4.95,131.845,4.27635310434205,25.13,0.275031503726988,4,1.20936629890194,3.94,0.741427759091349,0,0.218515133655231,4,2.74722281899181,0,1.2653241861939,3.81,0.247521495543927,3.81,0.158626497128941,0,0,2.1,0.098482742522295,0.035,0.042311012445858
